Fault No.,Fault Name,Level,Car Type,D1,D2,D3,D4,D5,D6,D7,D8,D9,TD,C1
TMS 409,RIO2 TMS Transmission Error,1:Error,0:Normal,,RIO Status Data,,,,,,,,,
TMS 410,RIO2 TMS FCS Error,1:Error,0:Normal,,RIO Status Data,,,,,,,,,
TMS 411,RIO2 TMS Sequence Counter Error,1:Error,0:Normal,,RIO Status Data,,,,,,,,,
TMS 414,Abnormal RIO1 card alignment (SLOT3),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 415,Abnormal RIO1 card alignment (SLOT4),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 416,Abnormal RIO1 card alignment (SLOT5),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 417,Abnormal RIO1 card alignment (SLOT6),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 418,Abnormal RIO1 card alignment (SLOT7),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 419,Abnormal RIO1 card alignment (SLOT8),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 420,Abnormal RIO1 card alignment (SLOT9),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 421,Abnormal RIO1 card alignment (SLOT10),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 422,Abnormal RIO1 card alignment (SLOT11),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 423,Abnormal RIO1 card alignment (SLOT12),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 424,Abnormal RIO1 card alignment (SLOT13),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 425,Abnormal RIO1 card alignment (SLOT14),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 426,Abnormal RIO1 card alignment (SLOT15),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 427,Abnormal RIO1 card alignment (SLOT16),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 428,Abnormal RIO1 card alignment (SLOT17),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 429,Abnormal RIO2 card alignment (SLOT3),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 430,Abnormal RIO2 card alignment (SLOT4),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 431,Abnormal RIO2 card alignment (SLOT5),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 432,Abnormal RIO2 card alignment (SLOT6),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 433,Abnormal RIO2 card alignment (SLOT7),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 434,Abnormal RIO2 card alignment (SLOT8),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 435,Abnormal RIO2 card alignment (SLOT9),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 436,Abnormal RIO2 card alignment (SLOT10),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 437,Abnormal RIO2 card alignment (SLOT11),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 438,Abnormal RIO2 card alignment (SLOT12),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 439,Abnormal RIO2 card alignment (SLOT13),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 440,Abnormal RIO2 card alignment (SLOT14),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 441,Abnormal RIO2 card alignment (SLOT15),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 442,Abnormal RIO2 card alignment (SLOT16),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 443,Abnormal RIO2 card alignment (SLOT17),2:Abnormal,1:Normal,0:No insert,RIO Status Data,,,,,,,,,
TMS 444,Discrepancy of DI from slot 3 between RIO1 & RIO2,1:Discrepaney,,,Internal Software Data,,,,,,,,,
TMS 445,Discrepancy of DI from slot 4 between RIO1 & RIO3,1:Discrepaney,,,Internal Software Data,,,,,,,,,
TMS 446,Discrepancy of DI from slot 5 between RIO1 & RIO4,1:Discrepaney,,,Internal Software Data,,,,,,,,,
TMS 447,Discrepancy of DI from slot 6 between RIO1 & RIO5,1:Discrepaney,,,Internal Software Data,,,,,,,,,
TMS 449,Discrepancy of DI from slot 12 between RIO1 & RIO7,1:Discrepaney,,,Internal Software Data,,,,,,,,,
TMS 450,Discrepancy of DI from slot 13 between RIO1 & RIO8,1:Discrepaney,,,Internal Software Data,,,,,,,,,
TMS 500,ER1 system Transmission error,1:Error,0:Normal,,ER Transmission status,,,,,,,,,
TMS 501,ER1 system Sequence Counter Error,1:Error,0:Normal,,ER Transmission status,,,,,,,,,
TMS 502,ER1 system TMS Transmission error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 503,ER1 system TMS Sequence Counter Error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 504,ER2 system Transmission error,1:Error,0:Normal,,ER Transmission status,,,,,,,,,
TMS 505,ER2 system Sequence Counter Error,1:Error,0:Normal,,ER Transmission status,,,,,,,,,
TMS 506,ER2 system TMS Transmission error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 507,ER2 system TMS Sequence Counter Error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 508,"ER Fault - ER Configuration file missing, invalid or corrupted",1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 509,ER Fault - The Real Time Clock battery is low,1:Alert,0:Normal,,ER Status Data,,,,,,,,,
TMS 510,ER Fault - ER Program Memory Check Fail,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 511,ER Fault - ER Data Memory Check Fail,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 512,ER Fault - ER Power Supply Out of Range,1:Alert,0:Normal,,ER Status Data,,,,,,,,,
TMS 513,ER Fault - No ER inputs change in 92 day,1:Alert,0:Normal,,ER Status Data,,,,,,,,,
TMS 514,ER Fault - ER internal temperature is High (>85?XC/185?XF),1:Alert,0:Normal,,ER Status Data,,,,,,,,,
TMS 515,ER Fault - Internal ER Power Supply Failure,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 516,ER Fault - Internal ER RTC Failure,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 517,ER Fault - Crash Hardened Memory module missing,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 518,ER Fault - Self test failed on Crash Hardened Memory,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 519,ER Fault - Crash Hardened Memory module communication error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 520,ER Fault - Events Mirror Memory module missing,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 521,ER Fault - Self test failed on Events Mirror Memory module,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 522,ER Fault - Events Mirror Memory module communication error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 523,ER Fault - Events Spooler Memory device is missing,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 524,ER Fault - Self test failed on Events Spooler Memory module,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 525,ER Fault - Events Spooler Memory communication error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 526,ER Fault - Events Spooler Memory is full,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 527,ER Fault - PTU communication process halted,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 528,ER Fault - PTU communication process system error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 531,ER Fault - Crash Hardened Memory management process halted,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 532,ER Fault - Crash Hardened Memory management process system error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 533,ER Fault - Events scanning process halted,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 534,ER Fault - Events scanning process software system error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 535,ER Fault - TMS communication process halted,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 536,ER Fault - TMS communication process system error,1:Error,0:Normal,,ER Status Data,,,,,,,,,
TMS 537,ER Fault - TMS COMM ERR,1:Error,0:Normal,,ER Status Data,,,,,,,,,
CAB 000,Powering(train line),1:Powering,0:No powering,,Digital Input 24411,,,,,,,,,
CAB 001,Braking,1:Braking,0:No braking,,Digital Input 26704,,,,,,,,,
CAB 002,Forward,1:Forward enable,0:Forward disable,,Digital Input 24201,,,,,,,,,
CAB 003,Reverse,1:Reverce enable,0:Reverce disable,,Digital Input 24202,,,,,,,,,
CAB 004,FSB,1:FSB on,0:FSB off,,Digital Input 26613,,,,,,,,,
CAB 005,Mode selector switch Automatic,1:Automatic position,0:Other position,,Digital Input 41407,,,,,,,,,
CAB 006,Mode selector switch PM + Automatic,1:Protected Manual position,0:Other position,,Digital Input 41408,,,,,,,,,
CAB 007,Mode selector switch PM + FOR + Stdby,1:Forward position,0:Other position,,Digital Input 24A01,,,,,,,,,
CAB 008,Mode selector switch Reverse,1:Reverse position,0:Other position,,Digital Input 24A02,,,,,,,,,
CAB 009,Mode selector switch Stand by,1:Standby position,0:Other position,,Digital Input 26605,,,,,,,,,
CAB 010,Driverless mode,1:DLSM,0:Not DLSM,,Digital Input 42C15,,,,,,,,,
CAB 012,TBC FB position,1:FBP,0:Not FBP,,Digital Input 42E04,,,,,,,,,
CAB 014,PWM signal reference,0 ~ 10V,,,Analog Input 42K09 42K10,,,,,,,,,
CAB 015,MCR,1:MCR on,0:MCR off,,Digital Input 21206,,,,,,,,,
CAB 016,Hostler mode on,1:Hostler mode on,0:Hostler mode off,,Digital Input 24907 24905,,,,,,,,,
CAB 017,EB bypass,1:EB bypass,0:EB No bypass,,Digital Input 42E08,,,,,,,,,
CAB 018,DSD Alarm Active,1:DSD alarm active,,,Digital Input 42F15,,,,,,,,,
CAB 019,DU2 raised,1:Raised,0:Not raised,,Digital Input 42E23,,,,,,,,,
CAB 020,Horn on,1:Horn on,0:Horn off,,Digital Input 45102,,,,,,,,,
CAB 021,Bypass Switch,1:active,0:not active,,Digital Input 42J12,,,,,,,,,
CAB 022,ATC Departure button,1:active,0:not active,,Digital Input 42C11,,,,,,,,,
CAB 023,Isolated car select relay,1:active,0:not active,,Digital Output 42S06,,,,,,,,,
CAB 024,TPMR Active,1:not active,0:active,,Digital Input 42E25,,,,,,,,,
CAB 027,Traction interlock override switch,1:not override,0:override,,Digital Input 42E06,,,,,,,,,
CAB 028,Pantograph up button pressed,1:Button pressed,0:Button Not pressed,,Digital Input 42C13,,,,,,,,,
CAB 029,Pantograph down button pressed,1:Button pressed,0:Button Not pressed,,Digital Input 42C03,,,,,,,,,
CAB 030,Rescue Relay,1:Rescue Relay,0:Not rescue,,Digital Input 42E17,,,,,,,,,
CAB 032,Parking Brake Bypass Switch,1:bypass,0:Not bypass,,Digital Input 42E10,,,,,,,,,
CAB 033,Hostler station on,1:Hostler station on,0:Hostler station off,,Digital Input 24910,,,,,,,,,
CAB 034,TBC EB Position,1:TBC EB Position,0:Other Position,,Digital Input 22607,,,,,,,,,
CAB 035,Isolation car selection relay,1:Isolated car select,0:Not Isolated car select,,Digital Input 42M05,,,,,,,,,
CAB 036,Driver Safety Device Bypass Switch,1:not bypass,0:bypass,,Digital Input 42C20,,,,,,,,,
CAB 038,U side cab door opened,1:close,0:not close,,Digital Input 42F13 42F07,,,,,,,,,
CAB 039,D side cab door opened,1:close,0:not close,,Digital Input 42F07 42F13,,,,,,,,,
CAB 040,Cab partition door opened,1:open,0:not open,,Digital Input 53104,,,,,,,,,
CAB 042,Horn isolate cock,1: isolate,,,Digital Input 42D07 42N16,,,,,,,,,
CAB 043,DVSS active,1: DVSS active,,,Digital Input 42F04,,,,,,,,,
CAB 044,Over 45km/h,0: Over 45km/h,,,Digital Input 42F28,,,,,,,,,
CAB 045,Over 25km/h,0: Over 25km/h,,,Digital Input 42F29,,,,,,,,,
CAB 046,DVIS Isolation Switch,1: Active,0: Not Active,,Digital Input 42E20,,,,,,,,,
CAB 048,Zero Speed,1: zero speed,0: not zero speed,,Digital Input 42F09,,,,,,,,,
CAB 050,All door close,1: close,0: not close,,Digital Input 42F12,,,,,,,,,
CAB 051,Door zero speed relay,1: not zero speed,0: zero speed,,Digital Input 42M14,,,,,,,,,
CAB 052,DIR1 Active,1: not active,0: active,,Digital Input 42M12,,,,,,,,,
CAB 053,DIR2 Active,1: not active,0: active,,Digital Input 42M13,,,,,,,,,
CAB 054,All door close,1: close,0: not close,,Digital Input 42F26,,,,,,,,,
CAB 055,Automatic Door Opening Bypass,1: active,0: not active,,Digital Input 42E26,,,,,,,,,
CAB 056,Door close,1: close,0: not close,,Digital Input 81303,,,,,,,,,
CAB 057,Staff key open,1: active,0: not active,,Digital Input 81503,,,,,,,,,
CAB 058,Cab partition door opened,1: not open,0: open,,Digital Input 53104,,,,,,,,,
CAB 059,EED Active,1: active,0: not active,,Digital Output 42J19,,,,,,,,,
CAB 060,EAI,1: active,0: not active,,Digital Output 42J11,,,,,,,,,
CAB 100,time out of initial 10s,1:initialize 10s was passed,,,Internal Software Data,,,,,,,,,
CAB 101,excitation signal,1:TRC CPU stopped,,,Internal Software Data,,,,,,,,,
CAB 102,initialize 15s(for A/C Initial),1:time out,0:not time out,,Internal Software Data,,,,,,,,,
CAB 103,initialize 120s(for MC Initial),1:time out,0:not time out,,Internal Software Data,,,,,,,,,
CAB 131,Fault  Clear,1:Fault Cleared,,,Internal Software Data,,,,,,,,,
CAB 132,Energy Consumption set,1:Energy Consumption was set by PC,,,Internal Software Data,,,,,,,,,
CAB 133,Running Distance set,1:Running Distance was set by PC,,,Internal Software Data,,,,,,,,,
CAB 134,Wheel Size set,1:Wheel Size was set by PC,,,Internal Software Data,,,,,,,,,
CAB 135,Pass Load change,1:Passenger Load was change by PC,,,Internal Software Data,,,,,,,,,
CAB 147,Primary Unit,1: primary unit,0: not primary unit,,Internal Software Data,,,,,,,,,
CAB 151,Distance Error,1:Distance from previous station was incorrect,,,Internal Software Data,,,,,,,,,
CAB 900,transmission standby OK,,,,Internal Software Data,,,,,,,,,
CAB 905,PWM failure detect on more than 3 CI,1:detect,,,Internal Software Data,,,,,,,,,
CAB 906,AI PWM reference > 11V,1:AI PWM reference > 11V,0:AI PWM reference ?? 11V,,Internal Software Data,,,,,,,,,
CAB 907,V02 is Off in Train,1:Mode selector switch is not Auto,,,Internal Software Data,,,,,,,,,
CAB 908,MCR in other side cab & my car is rear cab,1:own car is rear cab,0:own car is not rear cab,,Internal Software Data,,,,,,,,,
CAB 909,Both TPMR active,1: both TPMR active,0: others,,Internal Software Data,,,,,,,,,
CAB 910,UOTR ON more than 10 second,1: DRU 004=1 more than 10s,0: Normal,,Internal Software Data,,,,,,,,,
CAB 911,DOTR ON more than 10 second,1: DRD 004 =1 more than 10s,0: Normal,,Internal Software Data,,,,,,,,,
CAB 912,Door Open button have been energized more than 10 second,1: CAB 910 or CAB 911,0: Normal,,Internal Software Data,,,,,,,,,
CAB 913,Forward/Reverse Position,1: CAB 007 or CAB 008,0: Other,,Internal Software Data,,,,,,,,,
CAB 914,Train is active,1: CAB 015 or CAB 010,0: Other,,Internal Software Data,,,,,,,,,
VOB 000,ATP cutout,1: cut-out,0: not cut-out,,Digital Input 42C12,,,,,,,,,
VOB 001,ATP reverse (West rail),1: active,0: not active,,Digital Input 42C06,,,,,,,,,
VOB 002,ATO EB release,1: release,0: not release,,Digital Input 42F25,,,,,,,,,
VOB 003,EB release,1: release,0: not release,,Digital Input 42D22,,,,,,,,,
VOB 004,VOBC active,1: inactive,0: active,,Digital Input 42E21,,,,,,,,,
VOB 100,VOBC transmission fault,1: fault,0: no fault,,,,,,,,,,,
VOB 101,Next Destination/Terminus,: Binary,,,Status Data,,,,,,,,,
VOB 102,Train Length (TL),Not used,,,Status Data,,,,,,,,,
VOB 103,Train Number,: BCD,,,Status Data,,,,,,,,,
VOB 104,VOBC Unhealthy,1: Unhealthy,0: Healthy,,Status Data,,,,,,,,,
VOB 112, Fault Log Request,1: fault log requested,0: fault log not requested,,Status Data,,,,,,,,,
VOB 113,Speed Change Alarm,1: speed change alarm on,0: speed change alarm off,,Status Data,,,,,,,,,
VOB 114,Dwell Expiration Alarm,1: dwell expiration alarm on,0: dwell expiration alarm off,,Status Data,,,,,,,,,
VOB 115,Overspeed Alarm,1: overspeed alarm on,0: overspeed alarm off,,Status Data,,,,,,,,,
VOB 116,Platform Door Status unhealthy,"10: unhealthy, platform doors cannot be opened",,,Status Data,,,,,,,,,
VOB 117,Platform Door Interface Unit Communication Status unhealthy,10: communications with PDIU failed,,,Status Data,,,,,,,,,
VOB 118,Event Number,,,,Status Data,,,,,,,,,
VOB 119,Error Code,,,,Status Data,,,,,,,,,
VOB 120,Error Type Within Error Code,,,,Status Data,,,,,,,,,
VOB 121,Position,,,,Status Data,,,,,,,,,
VOB 122,Target Point(MSB),,,,Status Data,,,,,,,,,
VOB 123,Braking Curve Number,,,,Status Data,,,,,,,,,
VOB 124,Target Point (LSbits),,,,Status Data,,,,,,,,,
VOB 125,Distance to Target Point,,,,Status Data,,,,,,,,,
VOB 126,Maximum Speed,,,,Status Data,,,,,,,,,
VOB 127,Target Speed,,,,Status Data,,,,,,,,,
VOB 128,Permitted Speed,,,,Status Data,,,,,,,,,
VOB 129,Actual Speed,0-255kph/00H-FFH,,,Status Data,,,,,,,,,
VOB 130,Train Operating Mode,,,,Status Data,,,,,,,,,
VOB 131,Stopped Flag,,,,Status Data,,,,,,,,,
VOB 132,Door Status,,,,Status Data,,,,,,,,,
VOB 133,Automatic Speed Control Mode of Operation,,,,Status Data,,,,,,,,,
VOB 134,Depart Flag,,,,Status Data,,,,,,,,,
VOB 135,VCC Number,,,,Status Data,,,,,,,,,
VOB 136,VCC Loop Channel,,,,Status Data,,,,,,,,,
VOB 137,VCC Previous Loop ID,,,,Status Data,,,,,,,,,
VOB 138,VCC Loop ID,,,,Status Data,,,,,,,,,
VOB 139,Actual TD,,,,Status Data,,,,,,,,,
VOB 140,Commanded TD,,,,Status Data,,,,,,,,,
VOB 141,Entry Direction,,,,Status Data,,,,,,,,,
VOB 142,Correlation,,,,Status Data,,,,,,,,,
VOB 143,Positioning Flag,,,,Status Data,,,,,,,,,
VOB 144,Communication Flag,,,,Status Data,,,,,,,,,
VOB 145,Active/Passive State passive,,00: Passive,,Status Data,,,,,,,,,
VOB 146,Active/Passive State active,,11: active,,Status Data,,,,,,,,,
VOB 147,Loop Change in Pro-gress Flag,,,,Status Data,,,,,,,,,
VOB 148,TWR1 slip,,,,Status Data,,,,,,,,,
VOB 149,TWR1 stopped,,,,Status Data,,,,,,,,,
VOB 150,TWR2 slip,,,,Status Data,,,,,,,,,
VOB 151,TWR2 stopped,,,,Status Data,,,,,,,,,
VOB 157,VOBC ?V EU S/W Version Number,,,,Status Data,,,,,,,,,
VOB 158,VOBC ?V EU S/W Seconds Since Power up,,,,Status Data,,,,,,,,,
VOB 159,VOBC ?V OTP S/W Version Number,,,,Status Data,,,,,,,,,
VOB 160,VOBC ?V OTP Seconds Since Power up,,,,Status Data,,,,,,,,,
VOB 161,VOBC ID,,,,Status Data,,,,,,,,,
VOB 162,Date and Time,,,,Status Data,,,,,,,,,
VOB 163,Wayside Command Telegram,,,,Status Data,,,,,,,,,
VOB 164,Wayside Response Telegram,,,,Status Data,,,,,,,,,
VOB 165,Docking Loop Command Telegram,,,,Status Data,,,,,,,,,
VOB 166,Docking Loop Response Telegram,,,,Status Data,,,,,,,,,
VOB 167,Discrete Input Data,,,,Status Data,,,,,,,,,
VOB 168,Discrete Output Data,,,,Status Data,,,,,,,,,
VOB 501,Both VOBC not active,1:Both VOBC Not Active,0: others,,Internal Software Data,,,,,,,,,
VOB 502,Both VOBC transmission fault,1: Fault,0: Normal,,Internal Software Data,,,,,,,,,
VOB 503,Both VOBC active,1:Both VOBC Active,0: others,,Internal Software Data,,,,,,,,,
BR-004,BP pressure ,1: >1.8 Bar,,,Digital Input 42D21,,,,,,,,,
BR-005,PB released (bogie 1),1: Release,0: PB Not release,,"Digital Input 42D04, 42D11, 42N10, 42N11",,,,,,,,,
BR-006,PB released (bogie 2),1: Release,0: PB Not release,,"Digital Input 42D04, 42D11, 42N10, 42N11",,,,,,,,,
BR-008,BC status(bogie 1) ,1: Brake Apply,0: Brake Not apply,,"Digital Input 42D09, 42D15, 42N04, 42N05 ",,,,,,,,,
BR-009,BC status(bogie 2) ,1: Brake Apply,0: Brake Not apply,,"Digital Input 42D09, 42D15, 42N04, 42N05 ",,,,,,,,,
BR-010,EBCU Major fault ,1: Normal,0: Major Event,,Digital Input  42F23 ,,,,,,,,,
BR-014,MR low,1: MR low,0: MR not low,,Digital Input 42D02,,,,,,,,,
BR-017,Brake isolate cock B05,1: Isolate,0: Normal,,Digital Input 42D14,,,,,,,,,
BR-018,Air compressor started,1: Start,0: Not start,,Digital Input 42F10,,,,,,,,,
BR-019,MR isolate cock No.1 end,1: Isolate,,,"Digital Input 42D16, 42D03, 42N06, 42N07 ",,,,,,,,,
BR-020,MR isolate cock No.2 end,1: Isolate,,,"Digital Input 42D16, 42D03, 42N06, 42N07 ",,,,,,,,,
BR-021,Train pipe isolate cock No.1 end,1: Isolate,,,"Digital input 42D10, 42D17, 42N08, 42N09",,,,,,,,,
BR-022,Train pipe isolate cock No.2 end,1: Isolate,,,"Digital input 42D10, 42D17, 42N08, 42N09",,,,,,,,,
BR-023,Parking brake isolate cock,1: Isolate,,,"Digital Input 42D18, 42N12 ",,,,,,,,,
BR-024,BVIC,1: Isolate,,,Digital Input 42D05,,,,,,,,,
BR-025,Rescue equipment cock,1: Isolate,,,Digital Input 42D12,,,,,,,,,
BR-026,Air spring isolate cock bogie1,1: Isolate,,,"Digital Input 42D06, 42D13, 42N13, 42N14 ",,,,,,,,,
BR-027,Air spring isolate cock bogie2,1: Isolate,,,"Digital Input 42D06, 42D13, 42N13, 42N14 ",,,,,,,,,
BR-028,Air spring isolate cock,1: Isolate,,,"Digital Input 42D19, 42N15",,,,,,,,,
BR-030,Pantograph Cup isolate cock ,1: Isolate,,,Digital Input 42N21,,,,,,,,,
BR-031,VCB isolate cock ,1: Isolate,,,Digital Input 42N18,,,,,,,,,
BR-032,EB isolate in rescue mode ,1: Isolate,,,Digital Input 42E02,,,,,,,,,
BR-033,Air spring pressure switch bogie 1,1: >2.0 bar,0: <1.5 bar,,"Digital Input 42E07, 42E03, 42P05, 42P02 ",,,,,,,,,
BR-034,Air spring pressure switch bogie 2,1: >2.0 bar,0: <1.5 bar,,"Digital Input 42E07, 42E03, 42P05, 42P02 ",,,,,,,,,
BR-035,Parking brake bypass switch,1: Bypass,,,Digital Input 42E10,,,,,,,,,
BR-036,EBCU Minor Event ,0: Normal,,,Digital Input 42F24,,,,,,,,,
BR-037,Powering ,1: Powering,,,Digital Input 24411,,,,,,,,,
BR-038,Train pipe pressure ,0 ~ 10V,,,"Analog Input 42K05, 42K06 ",,,,,,,,,
BR-039,EBPB,1: Applied,0: Not applied,,"Digital Input 42D08,42M22",,,,,,,,,
BR-040,EBCU Braking ,1: Braking,,,Digital Input 26704 ,,,,,,,,,
BR-041,Full Service Brake Command ,1: FSB,,,Digital Input 26613,,,,,,,,,
BR-042,Main Compressor MCB ,1: Trip,0: Normal,,Digital Input 42N19,,,,,,,,,
BR-099,EBCU Status valid ,1: Fault,0: Normal,,Internal Software Data,,,,,,,,,
BR-100,EBCU Transmission fault ,1: Fault,0: Not fault,,Internal Software Data,,,,,,,,,
BR-105,EBCU Slide detected ,1: ED Slide,0: No ED Slide,,Status Data,,,,,,,,,
BR-109,EBCU ED-Fade out ,1: Fadeout,,,Status Data,,,,,,,,,
BR-110,MR pressure WM car,13 bar/FFH,,,Status Data,,,,,,,,,
BR-111,EBCU Standstill ,1: At standstill,,,Status Data,,,,,,,,,
BR-112,Brake pipe pressure TC car ,13 bar/FFH,,,Status Data,,,,,,,,,
BR-114,Holding Brake Applied ,1: Applied,0: Not applied,,Status Data,,,,,,,,,
BR-116,EBCU Set Value Cv-Pressure bogie 1,7 bar/FFH,,,Status Data,,,,,,,,,
BR-117,EBCU CV pressure bogie 1,8 bar/FFH,,,Status Data,,,,,,,,,
BR-118,EBCU Set Value Cv-Pressure bogie 2,9 bar/FFH,,,Status Data,,,,,,,,,
BR-119,EBCU CV pressure bogie 2,10 bar/FFH,,,Status Data,,,,,,,,,
BR-120,EBCU Brake Demand Reference Value,100%/64H,,,Status Data,,,,,,,,,
BR-122,EBCU Car Load ,15- 85t/FFH ,,,Status Data,,,,,,,,,
BR-123,EBCU Speed Signal ,140kph/FFH ,,,Status Data,,,,,,,,,
BR-124,EBCU car isolation ,1: Isolated,0: Not isolated,,Status Data,,,,,,,,,
BR-125,EBCU bogie1 isolation ,1: Isolated,0: Not isolated,,Status Data,,,,,,,,,
BR-126,EBCU bogie2 isolation ,1: Isolated,0: Not isolated,,Status Data,,,,,,,,,
BR-127,Main reservoir pipe presure Tc car valid,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-128,Main reservoir pipe presure WM car valid,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-129,T-pressure bogie2 valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-130,T-pressure bogie1 valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-131,Car load valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-132,Cv-pressure bogie1 valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-133,Cv-pressure bogie2 valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-134,C-pressure bogie1 valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-135,C-pressure bogie2 valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-138,Reference speed value valid,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-139,STV-Pressure bogie1 valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-140,STV-Pressure bogie2 valid ,1: Valid,0: Invalid,,Status Data,,,,,,,,,
BR-142,EP brake bogie1 isolated,1: Isolated,0: Not isolated,,Status Data,,,,,,,,,
BR-143,EP brake bogie2 isolated,1: Isolated,0: Not isolated,,Status Data,,,,,,,,,
BR-144,EP brake OK bogie1 ,1: OK,0: Not OK,,Status Data,,,,,,,,,
BR-145,EP brake OK bogie2,1: OK,0: Not OK,,Status Data,,,,,,,,,
BR-146,Holding brake is applied in local car,1: Holding brake is applied,0: Holding brake is applied,,Status Data,,,,,,,,,
BR-147,Emergency brake is applied in local car,1: Emergency brake is applied,0: Emergency brake is applied,,Status Data,,,,,,,,,
BR-148,Service brake is applied in local car,1: Service brake is applied,0: Service brake is applied,,Status Data,,,,,,,,,
BR-149,WSP is active in local car,1: WSP is active,0: WSP is not active,,Status Data,,,,,,,,,
BR-150,Train Line Feedback EmergencyBrake ,1: No emergency brake,0: Emergency brake,,Status Data,,,,,,,,,
BR-151,Train Line Feedback FullServiceBrake ,1: Full service brake,0: No full service brake,,Status Data,,,,,,,,,
BR-152,Train Line Feedback Brake ,1: Brake,0: No brake,,Status Data,,,,,,,,,
BR-153,Train Line Feedback Drive,1: Drive,0: No drive,,Status Data,,,,,,,,,
